School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Webb City,29.7,28.21,57.9,1,2,1
Ladue Horton Watkins,24.04,31.37,55.41,2,1,2
West Plains,22.87,25.96,48.83,3,3,3
Camdenton,22.3,18.37,40.67,4,9,4
Smithville,16.57,23.14,39.72,9,5,5
Kearney,15.62,23.48,39.1,10,4,6
St. Francis Borgia,19.01,18.48,37.49,8,8,7
Platte County,19.93,13.31,33.24,6,12,8
Neosho,11.15,20.82,31.96,16,6,9
MICDS,12.45,19.43,31.88,12,7,10
Hannibal,19.37,12.09,31.47,7,17,11
Helias Catholic,20.54,3.55,24.09,5,31,12
Carl Junction,8.39,14.43,22.81,23,11,13
Grain Valley,9.81,12.99,22.8,19,14,14
Rockwood Summit,9.74,12.23,21.96,20,16,15
Grandview,8.07,13.03,21.1,24,13,16
Parkway North,8.01,12.33,20.33,25,15,17
Hazelwood East,10.3,9.45,19.75,17,20,18
Excelsior Springs,12.27,6.44,18.72,13,25,19
Warrensburg,10.08,8.17,18.25,18,22,20
Ft. Zumwalt East,11.72,6.02,17.74,14,27,21
Westminster Christian Academy,8.53,8.0,16.52,22,23,22
St. Dominic,4.42,10.85,15.28,29,18,23
St. Mary's South Side,13.26,1.53,14.79,11,34,24
Farmington,8.86,4.35,13.2,21,29,25
Parkway Central,2.35,10.72,13.06,32,19,26
Rolla,7.26,4.06,11.33,27,30,27
Marshfield,3.98,7.24,11.22,30,24,28
Union,1.7,9.33,11.03,35,21,29
Lafayette (St. Joseph),7.74,1.16,8.9,26,36,30
Festus,2.11,5.43,7.53,34,28,31
Sikeston,-7.79,14.89,7.1,51,10,32
Priory,-0.23,6.21,5.97,37,26,33
Bolivar,3.72,1.85,5.57,31,33,34
North County,11.46,-7.28,4.18,15,50,35
Kirksville,5.72,-1.73,4.0,28,41,36
Jennings,0.48,3.38,3.85,36,32,37
Hillsboro,-1.7,-1.16,-2.85,41,38,38
Raytown South,-4.11,1.26,-2.85,44,35,39
Monett,-1.57,-1.66,-3.23,40,40,40
Harrisonville,2.27,-5.54,-3.26,33,49,41
Van Horn,-0.89,-4.82,-5.7,39,46,42
Clayton,-3.28,-3.14,-6.42,43,44,43
Hillcrest,-5.58,-1.51,-7.09,48,39,44
McDonald County,-4.91,-2.4,-7.3,46,42,45
Winnetonka,-0.38,-7.28,-7.66,38,51,46
Lincoln College Prep,-5.77,-3.49,-9.25,49,45,47
Washington,-9.91,0.24,-9.66,55,37,48
Central (Cape Girardeau),-4.7,-5.51,-10.21,45,48,49
Sullivan,-8.36,-2.74,-11.1,52,43,50
Marshall,-6.07,-5.21,-11.28,50,47,51
Warrenton,-2.62,-8.68,-11.31,42,53,52
St. Charles,-5.2,-11.65,-16.84,47,57,53
Affton,-9.56,-9.86,-19.42,54,55,54
Riverview Gardens,-8.79,-11.38,-20.17,53,56,55
University City,-14.71,-9.41,-24.11,58,54,56
Windsor (Imperial),-12.31,-14.93,-27.23,56,60,57
Pacific,-12.49,-14.81,-27.3,57,59,58
McCluer,-22.67,-7.9,-30.57,61,52,59
East (Kansas City),-18.31,-13.84,-32.15,59,58,60
Gateway,-20.04,-15.68,-35.72,60,61,61
