School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blair Oaks,34.59,23.43,58.02,1,1,1
Lutheran North,26.42,23.42,49.84,2,2,2
Lathrop,19.03,17.99,37.02,3,3,3
Lamar,16.69,10.7,27.39,4,7,4
Ava,13.22,12.07,25.29,5,5,5
Strafford,6.91,11.71,18.63,11,6,6
Lawson,4.15,13.84,17.99,16,4,7
Caruthersville,7.63,8.53,16.15,10,11,8
Liberty (Mountain View),7.77,7.57,15.34,9,14,9
Fair Grove,5.25,9.17,14.41,15,9,10
Clark County,3.98,10.26,14.23,17,8,11
Lexington,8.09,6.1,14.2,8,17,12
Summit Christian Academy,6.28,6.28,12.56,13,16,13
Monroe City,2.51,9.11,11.62,20,10,14
Charleston,9.67,-0.05,9.62,7,24,15
Macon,3.4,5.57,8.96,18,18,16
Lafayette County,3.15,0.23,3.39,19,23,17
Versailles,6.56,-3.46,3.1,12,28,18
Palmyra,-5.22,7.65,2.43,29,13,19
Hallsville,-3.79,4.81,1.01,25,20,20
Houston,-7.42,8.31,0.89,35,12,21
Knob Noster,10.88,-10.73,0.16,6,38,22
Lift for Life Academy Charter,0.52,-1.7,-1.19,21,27,23
Jefferson (Festus),-6.95,5.35,-1.59,32,19,24
Mountain Grove,-8.14,6.47,-1.67,38,15,25
South Callaway,-3.26,0.37,-2.88,24,22,26
El Dorado Springs,-2.48,-0.77,-3.24,23,25,27
Central (New Madrid County),5.26,-8.55,-3.28,14,35,28
Holden,0.22,-4.69,-4.47,22,30,29
Brookfield,-10.14,3.18,-6.96,42,21,30
St. Pius X (Festus),-4.4,-5.63,-10.03,27,32,31
Sarcoxie,-7.32,-4.8,-12.12,34,31,32
North Callaway,-7.91,-4.53,-12.44,36,29,33
Kelly,-13.94,-1.65,-15.59,48,26,34
St. Michael the Archangel,-6.8,-10.74,-17.53,30,39,35
Richmond,-7.07,-11.54,-18.61,33,40,36
East Prairie,-5.06,-13.81,-18.86,28,44,37
Bowling Green,-6.87,-12.99,-19.86,31,42,38
Hermann,-13.38,-6.97,-20.35,46,34,39
Malden,-4.09,-16.77,-20.85,26,48,40
Willow Springs,-12.89,-9.82,-22.71,44,36,41
Warsaw,-8.11,-14.88,-22.99,37,45,42
California,-13.5,-10.61,-24.11,47,37,43
Montgomery County,-8.27,-17.19,-25.45,39,49,44
University Academy Charter,-10.01,-16.36,-26.37,41,47,45
Trenton,-8.51,-18.27,-26.78,40,51,46
Carrollton,-22.41,-5.9,-28.3,53,33,47
Principia,-20.4,-12.71,-33.1,51,41,48
Highland,-17.34,-19.27,-36.62,49,53,49
East Newton,-20.51,-18.96,-39.47,52,52,50
Butler,-24.04,-16.12,-40.16,55,46,51
Cuba,-13.35,-27.35,-40.7,45,57,52
Duchesne,-30.2,-13.44,-43.63,60,43,53
Clopton with Elsberry,-11.0,-33.78,-44.77,43,62,54
Herculaneum,-28.17,-17.3,-45.47,59,50,55
Carnahan,-23.28,-23.53,-46.81,54,54,56
Van-Far with Community,-20.03,-29.23,-49.26,50,58,57
Lone Jack with Kingsville,-27.33,-24.0,-51.33,58,56,58
Forsyth,-25.79,-29.69,-55.48,56,59,59
St. Paul Lutheran (Concordia),-32.82,-23.67,-56.5,61,55,60
Grandview (Hillsboro),-26.06,-30.98,-57.04,57,60,61
Missouri Military Academy,-41.39,-32.1,-73.5,62,61,62
