School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Vianney,36.06,26.49,62.55,1,3,1
Carthage,30.05,26.79,56.85,3,2,2
Jackson,30.21,16.94,47.15,2,6,3
Staley,15.83,28.08,43.9,11,1,4
Fort Osage,16.81,24.51,41.32,10,4,5
Chaminade College Prep,21.71,14.82,36.53,5,11,6
Battle,23.94,9.76,33.7,4,21,7
Raytown,20.96,12.17,33.12,7,16,8
Fox,15.28,17.36,32.64,14,5,9
Lebanon,21.03,11.19,32.22,6,18,10
North Kansas City,20.01,12.19,32.2,8,15,11
Ft. Zumwalt North,15.43,15.72,31.16,12,9,12
Timberland,9.91,16.22,26.13,17,8,13
Willard,7.94,16.57,24.51,19,7,14
Republic,10.27,14.06,24.33,16,13,15
Nixa,5.88,14.19,20.06,23,12,16
Belton,15.39,4.14,19.53,13,28,17
Smith-Cotton,5.79,10.98,16.77,24,19,18
William Chrisman,9.21,7.25,16.46,18,24,19
Parkway West,7.9,8.07,15.96,20,22,20
Branson,0.68,15.2,15.88,28,10,21
Park Hill South,4.49,10.95,15.45,26,20,22
Mehlville,7.01,7.35,14.36,21,23,23
Holt,14.89,-0.78,14.1,15,33,24
Parkview,17.84,-4.37,13.46,9,35,25
Hickman,0.66,12.27,12.93,29,14,26
Oak Park,-2.45,11.96,9.5,33,17,27
McCluer North,1.23,4.46,5.69,27,27,28
Central (St. Joseph),-0.34,4.67,4.33,30,26,29
Liberty (Wentzville),-3.68,5.4,1.72,34,25,30
Waynesville,-1.71,1.94,0.23,32,30,31
Seckman,4.7,-4.76,-0.06,25,36,32
Ft. Zumwalt South,-0.62,0.5,-0.12,31,31,33
Glendale,6.83,-7.7,-0.88,22,38,34
Poplar Bluff,-4.18,0.08,-4.1,37,32,35
Parkway South,-8.96,2.55,-6.41,41,29,36
Webster Groves,-4.55,-2.61,-7.16,38,34,37
Truman,-4.12,-6.45,-10.56,36,37,38
Ruskin,-3.96,-8.02,-11.98,35,39,39
Oakville,-5.34,-11.47,-16.81,39,40,40
Francis Howell North,-8.6,-15.79,-24.39,40,41,41
Central (Springfield),-22.03,-30.62,-52.65,42,42,42
